threshold,totalShares,submitted,round,expectedSuccess,actualSuccess,shareProofVerified,elapsedMs
2,3,1,0,false,false,true,4.4998
3,5,2,0,false,false,true,5.1005
2,3,2,1,true,true,true,6.6134
3,5,3,1,true,true,true,11.5213
2,3,2,2,true,true,true,4.6565
3,5,3,2,true,true,true,7.3376
2,3,2,3,true,true,true,6.0442
3,5,3,3,true,true,true,5.9523
2,3,2,4,true,true,true,4.1725
3,5,3,4,true,true,true,10.7145
2,3,2,5,true,true,true,4.3828
3,5,3,5,true,true,true,5.7614
2,3,2,6,true,true,true,3.6052
3,5,3,6,true,true,true,5.6308
2,3,2,7,true,true,true,3.5601
3,5,3,7,true,true,true,5.3674
2,3,2,8,true,true,true,3.7651
3,5,3,8,true,true,true,6.1366
2,3,2,9,true,true,true,3.6444
3,5,3,9,true,true,true,5.7716
2,3,2,10,true,true,true,3.4460
3,5,3,10,true,true,true,5.3681
2,3,2,11,true,true,true,4.2182
3,5,3,11,true,true,true,5.7439
2,3,2,12,true,true,true,5.6015
3,5,3,12,true,true,true,9.8908
2,3,2,13,true,true,true,4.0682
3,5,3,13,true,true,true,7.4563
2,3,2,14,true,true,true,4.9717
3,5,3,14,true,true,true,5.0230
2,3,2,15,true,true,true,3.3480
3,5,3,15,true,true,true,5.2965
2,3,2,16,true,true,true,3.2461
3,5,3,16,true,true,true,6.0336
2,3,2,17,true,true,true,3.8207
3,5,3,17,true,true,true,5.4615
2,3,2,18,true,true,true,3.7920
3,5,3,18,true,true,true,4.6280
2,3,2,19,true,true,true,3.6182
3,5,3,19,true,true,true,5.4005
2,3,2,20,true,true,true,3.4836
3,5,3,20,true,true,true,4.8563
2,3,2,21,true,true,true,3.9919
3,5,3,21,true,true,true,4.7216
2,3,2,22,true,true,true,3.1076
3,5,3,22,true,true,true,5.3973
2,3,2,23,true,true,true,3.3374
3,5,3,23,true,true,true,5.3812
2,3,2,24,true,true,true,3.5549
3,5,3,24,true,true,true,4.8097
2,3,2,25,true,true,true,3.0993
3,5,3,25,true,true,true,4.9575
2,3,2,26,true,true,true,3.1873
3,5,3,26,true,true,true,4.5776
2,3,2,27,true,true,true,3.8850
3,5,3,27,true,true,true,4.5586
2,3,2,28,true,true,true,2.9676
3,5,3,28,true,true,true,4.5974
2,3,2,29,true,true,true,3.3814
3,5,3,29,true,true,true,5.8789
2,3,2,30,true,true,true,3.0740
3,5,3,30,true,true,true,5.0478
